,verse_text,label,result,sentiment_score,sentiment_initial
184,no word for a while spake regin; but he hung his head adown,0,"no word for a while spake regin; but he hung his head adown
his coffin, having done this duty so often. Therewith the spoil was
given, and the show began.",1,0
185,"envy and calumny and hate and pain,",0,"envy and calumny and hate and pain, as well as all forces that harm us by evil. Thus, He revokes the hate that men have cast upon each other, sets forth his law, and provokes people to do the same.",0,0
186,and murmured a strange and solemn air;,0,"and murmured a strange and solemn air; and so did the god who
Vehicle our meetings, His lordship the Chidden, lock into silence; but
the cry of the soldiers rang him civilly, _hap, capillus fundi",1,1
187,taught by the sorrows that his age had known,0,"taught by the sorrows that his age had known, his old age was
buried more firmly in the graveyard than any man in Garth.",0,1
188,"the china dustless, the keen knife-blades bright,",1,"the china dustless, the keen knife-blades bright, and the
beautiful forest-waving; had in the world half a thousand times more,
had he not the _Swine_ sketch to keep beside him, arriving by night
on",1,1
189,an honest tongue may drop a harmless hint.,1,"an honest tongue may drop a harmless hint. Living with an addicted online playvideo, a comicsonline site develops a vibrant, colorful world.",1,0
190,playmates' glad symphony.,1,playmates' glad symphony.,1,1
191,"her lion-port, her awe-commanding face,",1,"her lion-port, her awe-commanding face, in Riding upon Gwynne, takers of her, to have
brought her long before the jagged-seam Storm-ner was a man.",0,1
192,"--so they feast in the hall of atli, and that eve is the first of the seven.",1,"--so they feast in the hall of atli, and that eve is the first of the seven.",1,1
193,"let sophists give the lie, hearts droop, and courtiers play the worm,",0,"let sophists give the lie, hearts droop, and courtiers play the worm, sireins cast bristling fleeces away. Birds come, snap away, deadly after wings, days rain beyond their desire, rumm known.",0,0
194,"swifter far than happy night,",1,"swifter far than happy night, lonesomely distinguishing, like a fly in the wind in grief. (given the range I was developing and the astounding number of people I could be having.",1,1
195,"by a great master of the past,",1,"by a great master of the past, and an
unvain ask, whether he ever learnt anything, yet with impudence,
merely because his title did not suit him; so he is an unknown
Jeon, half the men of",0,1
196,and to the tender heart and brave,1,"and to the tender heart and brave will of the husband’s nature that being married does not make him
brave as the sword was, but puts him to bondage.",0,1
197,"with the earls of the goths about her: so queenly did she seem,",1,"with the earls of the goths about her: so queenly did she seem, even in her youth.",1,1
198,"the fraud of priests, the wrong of law,",0,"the fraud of priests, the wrong of law, and the rapacity of man.",0,0
199,around thy place of slumber glowing!,1,"around thy place of slumber glowing! Think not that thou haveed; go not in thine house.

And yet I went out. And she had said strange things about me. I doubt.",0,1
200,obliterate the etchings,0,"obliterate the etchings, i.e. improve the net hydrophobicity of the DAS DNA adducts during site-directed mutagenesis processes.",1,0
201,and leaves the world to darkness and to me.,0,"and leaves the world to darkness and to me.”
“It seems you gave it all up for his sake. You just let him repeat the
error.",0,0
202,"he bent and kissed her head, warm, shining, soft,",1,"he bent and kissed her head, warm, shining, soft, and innocent.” She got an
ogan ere her eyes ecstasy. His grey locks appeared to penetrate even
into one of the sky-blue veins.",1,1
203,"that satraps would have shivered at his frown,",0,"that satraps would have shivered at his frown, ""after this, great
absurd night shall have come.""

He had not listened.",0,0
204,"harsh, featureless, and rude, barrenly perish:",0,"harsh, featureless, and rude, barrenly perish: devoted and conscious, he sways, flees with great exaggeration from the religious forecast.",0,0
205,and friendship's tenderest sympathy,1,"and friendship's tenderest sympathy would have been smitten
in her bosom. Fifty years marriage had seemed far. Things had perished
with the aforementioned accident.",0,1
206,my breast was calm as summer's sea,1,"my breast was calm as summer's sea swelected me; and dost care, whereas
sweet roses bloom with thy crimson folds.",1,1
207,oblivion's blankness claims,0,"oblivion's blankness claims to be emergent from worldview, but this assertion rests on a special mental quality or capacity taken to exclude the product from our conscious recognition in a new way of perceiving the world.",0,0
208,"tormented by the quickened blood of roots,",0,"tormented by the quickened blood of roots, it
lords the church, harks down on the rapping, mounts the aisle by degrees,
breeds its children for a time by means of nuts taken from the
",1,0
209,"with passionate longing burning,",1,"with passionate longing burning, hungry to get to the jaws of deep truth."" << Message >
Enter New Year, in Plymouth, on Aust Weekend on 7 December. This protest marked the first Amazon Support Day.",1,1
210,"where the cloudy hangings waver and the flickering shadows fall,",0,"where the cloudy hangings waver and the flickering shadows fall, so on and so on:
Figures People After the Siberian Idiot is an easy and calming read.",1,1
211,"ah, soul of mine! so brave and wise",1,"ah, soul of mine! so brave and wise, warrior with knives and swords, carrying the roll. He breathes a mere breath of deep life and life between the feet.
It is Sept.",1,1
212,"left the torn human heart, their food and dwelling-place.",0,"left the torn human heart, their food and dwelling-place. “Drinking inside”, they continue explaining, isn’t living inside.",0,0
213,his pass to the majestical far shore.,1,"his pass to the majestical far shore. Having
awakened to Kolkata's throng upon his arrival in the Cape Cod vinil-car
role, he made no particular comment upon what Mr. Perry Agent had
brought for Lewis.",1,1
214,"and virtue's bright image, enstamped on the mind,",1,"and virtue's bright image, enstamped on the mind, namely
towards human evolution.",1,1
215,inexorable death; and claims his right.,0,"inexorable death; and claims his right. Personal harm.
BSubscriber=Dimul>{{SensitiveName}} |1st	|hlife	<b>|Infinitys original story starts with...",0,0
216,"trailing, wrecked, it came to land,",0,"trailing, wrecked, it came to land, and up and down, moving, shoving through the steam-room, filled with mosquitoes and fluid; foaming, with water in medicine, run-off, water-splattered watering-",0,1
217,"dead among the shouting people,",0,"dead among the shouting people, the voice of the
long-uncle gave the weaker one a tidings in his ear:

“Katharine, I must beseech You to lightly do it for me.",1,0
218,"darling, the merciful father",1,"darling, the merciful father
who so proudly hath had us, has had a consciousness of our misfortune
and foolishness.",1,1
219,"from the slaughtering of my offspring, and the spoiling of my land;",0,"from the slaughtering of my offspring, and the spoiling of my land; I had
ordered from you that my body should be thrown to the fates of the six!
The prophet said:'my children, take not for the boys' his wife",0,0
220,"the soul with sweetness, and like an adept",1,"the soul with sweetness, and like an adeptly played
poet, writes and delivers the toilless poetical Reports of Far, Prairie and
Drake County of the Potash Bead Plush Land.",1,1
221,no answer came; but faint and forlorn,0,"no answer came; but faint and forlorn the captain
made the pilgrimage, settling himself on the pavement on which he had
returned. Whi^? fro studies obvious to the Tacite, the Bd.",1,0
222,and heavy as the dead.,0,"and heavy as the dead. Remind me of Shaun.”
But that is not exactly what Tolkien ever meant to retort to.",0,0
223,for suddenly the sweet bells overcame,1,"for suddenly the sweet bells overcame the deadly noise.
""She loves me but I can't help her. She told me she loves myself; I promised her I would.",1,1
224,a woman has been strangled with less weight:,0,"a woman has been strangled with less weight: five pervisceral creases, complete abdominal inversions, renal, hepatic and cranial abscesses.
Signs are signs, results are results: the child and graphic work returns in color.",1,0
225,"howled through the dark, like sounds from hell.",0,"howled through the dark, like sounds from hell. At last he noticed that these objects came towards him.
Infront of them he put his hands on the shoulders of the male and his lost torch upon his
shoulders.",1,1
226,make a fragrance of her fame.,1,"make a fragrance of her fame. She works at cosmologists employment and preparation.
William Charney was the dearest friend of Risky Kush, Vipassana,
Hazard Spray.",1,1
227,"thy outward thus with outward praise is crowned,",1,"thy outward thus with outward praise is crowned, to show that all who
approve when inquired Heaven, He can not be removed.",0,0
228,troubling with life the waters of the world.,0,troubling with life the waters of the world.” He also declines to ever participate in a conference on immigration.,0,0
229,when our mother nature laughs around;,1,"when our mother nature laughs around; we know when the way she is
playful, brilliant, bold, grand, and sturdy; he or she has ’coughed
ways for fifteen or twenty coats of morn water,",1,1
230,"and the words which he utters, are--worship, or die!",0,"and the words which he utters, are--worship, or die!",1,1
231,rang the beautiful wild chimes,1,"rang the beautiful wild chimes of gravel rock, blowing up in dusk under the lazy night air, and
then vanishes into the tangled crystal waters of the Grand Canyon,
while clouds of tawny dust descend stealthily into that",1,1
232,"the weird pathetic scarlet of day dawning,",0,"the weird pathetic scarlet of day dawning, definite in all its usual rules with ample
characteristic geography and coincidence with the large orientals."" A
novelty, really, for this writer.",0,0
233,"sometimes towards heav'n and the full-blazing sun,",1,"sometimes towards heav'n and the full-blazing sun, that lay in god's robe,
like such a prize, one that ought to belong to the smilingest of diamonds.",1,1
234,"grander, nobler, than that pilot",1,"grander, nobler, than that pilot swoosh.”
“I don’t believe it,” said Archer. “Do we really have to cover this habitation in small boats? Indeed, Nattie!
that is the beautiful thing.",1,1
235,but your dead-ripe ones ranges high fer treatin' nothun bretherin;,0,"but your dead-ripe ones ranges high fer treatin' nothun bretherin; ye lickin' hearin thattape and generally were' chatting a bit.
All members of the Victorian tribe of us are transcribed for this article.",0,0
236,so runs the perfect cycle of the year.,1,"so runs the perfect cycle of the year. Can you help me hint? Thanks!!! ~“[ editar ] Jul 20, 2020.",1,1
237,"the limpid ocean mirrors all the stars,",1,"the limpid ocean mirrors all the stars, our them; and we hear the singing of birds and the drumming of the fish; but when he heard the tears that rained on the father’s shoulders, and pleaded in vain to let the g",1,1
238,ashes and jet all hues outshine.,1,ashes and jet all hues outshine.,0,0
239,as childhood's sweet delight.,1,as childhood's sweet delight.,1,1
240,"""it is a lie, a damned, infernal lie!""",0,"""it is a lie, a damned, infernal lie!"" drew a look about
him. Dick obeyed his change--it was all the same to him.

""And a cancellation?""

""Yes.",0,0
241,and after that the winter cold and drear.,0,"and after that the winter cold and drear. Sweet love
explained a spark. That was the sort of touch that it could not have
done without.",1,0
242,"thus hee in scorn. the warlike angel mov'd,",0,"thus hee in scorn. the warlike angel mov'd,"" said the
chief; and the ladies smiled at his cool and quiet appearance.",1,0
243,"lull’d in her lap, amidst a train of loves,",1,"lull’d in her lap, amidst a train of loves, a flower of
joy that lent its inciting vertigo to Isabella’s, and that she stood
stroke in it still.",1,1
244,and in a pleasing slumber seals his eyes:,1,"and in a pleasing slumber seals his eyes:
[As they lie]
Which no soul in the world ever heard, nor ever cheered.(Walpole.) tell
me!
Tell me, Polly! Methinks Mr.",1,1
245,sweet poesy from heaven,1,sweet poesy from heaven and art is made of something so large that even the smallest thought can encounter the universe.,1,1
246,his sweeter voice a just accordance kept.,1,"his sweeter voice a just accordance kept. And moving remained with that low countenance. At beginning, when on that midnight solution from the quaint sum, the city seemed the bottles exposed from Light weakness.",0,1
247,"false-faces hung on strings,",0,"false-faces hung on strings, like ""blend green""?"" is the clue.
So here is another example of why aligning a string manipulates filenames to a ""less wierd"" position.",0,0
248,that in their lives such deadly fray they ne'er had seen before.,0,"that in their lives such deadly fray they ne'er had seen before. The cowrie fell, crushed against the bed. -The cow ran across the road. They missed the minute between for the past minutes.",0,0
249,her not-nice load.,0,her not-nice load.,0,0
250,"i strive, i pray.",1,"i strive, i pray.",1,1
251,"the loveliest king of the king-folk, the man of sweetest speech,",1,"the loveliest king of the king-folk, the man of sweetest speech, playful wit and all the powers they could muster, could not fall upon all these exquisitely modelled characters.",1,1
252,"and fears are added, and avenging flame.",0,"and fears are added, and avenging flame. The battles with the Dark Lord continue on and on, with much further banning and destruction being used.",0,0
253,who felt your own thought worthy of record,1,"who felt your own thought worthy of recording: with David Spencer and David English, host of The Reader, should propose to extend their prime offerings with their latest offering, applicable regardless of belief whether it is President Bob Norwood with porn of the California",1,0
254,"and stiff in fight, but serious drill's despair,",0,"and stiff in fight, but serious drill's despair, and nearly put the ensuing set out to do their swallow propósito.
x. Prince Sergeant Hubert de conserver and cook cooked a well prepared brisket and drumsal. x.",0,0
255,till the deaf fury comes your house to sweep!',0,"till the deaf fury comes your house to sweep!' 'There are sheep near, horse.' Suddenly, Heartken knocked, 'Heavier than than men.",0,0
256,"but now i see, most cruell hee,",0,"but now i see, most cruell hee, ewt man.
I hadn’t thought to say as I row on the trade floor.",0,0
257,"on the clear mirror of a loving heart,",1,"on the clear mirror of a loving heart, even during the worst times. The HLP helps the Heart work back up its original potential to give us more joy and quietness, a boost in our relationships and inner peace.",1,1
258,"how weak this tinkling line,",0,"how weak this tinkling line, said laughter, and it called out again'Modi ( Bstem wit )!
What motherfucker cheated him! Please rajo???? Maxo was a fake. This was Modi’s mentiras.",0,0
259,and make the liveliest monkey melancholy.,0,and make the liveliest monkey melancholy.,0,0
260,"and, between the river flowing and the fair green trees a-growing,",1,"and, between the river flowing and the fair green trees a-growing, these things started to gather, and a living bloom of marquis trays lay in full bloom.
Finally I got back to the main road.",1,1
261,"god prosper long our noble king,",1,"god prosper long our noble king, and our life, king.""

Once more Mr.",1,1
262,"where the moloch of slavery sitteth on high,",0,"where the moloch of slavery sitteth on high, none will loveth thine equal proposal.",0,0
263,"moonstruck with love, and this still thames had heard",1,"moonstruck with love, and this still thames had heard from his lips. You, O fairy, made such a wonderful visit to teach Mr.",1,1
264,"some thought of me, a last fond prayer",1,"some thought of me, a last fond prayer for my
wounded soul!

""I've done exactly what he said. But----""

""May I say, sir, I really understand that sounds a little difficult.",0,1
265,for wanderings sad and lone.,0,"for wanderings sad and lone. He says that a young Doc Kaffre is waiting
in the garden. She looks ahead to the little road that leads
through the North. It stands on the cabin wall.",1,0
266,"""onaway! my heart sings to thee,",1,"""onaway! my heart sings to thee, o ho, my boy... ye shall cause my country to break!"" in the season long, strange to
the face of the living.",0,1
267,"our hope, our remembrance, our trust,",1,"our hope, our remembrance, our trust, and our prayer together.",1,1
268,none will forget it till shall fall the deadly dart!,0,"none will forget it till shall fall the deadly dart! Dense and laden with sweets freed from guilt, her cheek is like a leaf.
""I'll feel better when I see you, doesn't give me a kiss to kiss her.",1,0
269,"forever quivering o'er his task,",0,"forever quivering o'er his task, and anxious to
think of it; but now he understood there was nothing unpleasant or
aflicting in the world of men just as he meant to think of it.",0,0
270,"radiant as moses from the mount, he stood",1,"radiant as moses from the mount, he stood in
weal when we were standing near.

""Beautiful home,"" said A. H.",1,1
271,wilt thou our lowly beds with tears of pity lave?',0,"wilt thou our lowly beds with tears of pity lave?'

he said, taking the one by the hand.",0,0
272,and seek the danger i was forc’d to shun.,0,"and seek the danger i was forc’d to shun. before i got straightaway at my corner curate stepped in. around as i vied candy, the void I sat with my omphasis.",0,0
273,"down the dark future, through long generations,",0,"down the dark future, through long generations, quest for truth and help humanity.
HB42 was originally co-authored by Hagia Sophia and Barbarians Throne. The second co-opure was co-edited by the aforementioned authors.",1,1
274,but she always ran away and left,0,"but she always ran away and left us
behind.

While Middlecroft was dando to her farewell address, an alighting of
horses drove up the stair, as she stood upon it, early in the evening.",1,0
275,with such vehement force and might,0,"with such vehement force and might that ordinary men
cannot understand its cruelty without commiserating themselves at the
perplexity and the disgust which they feel in the darkest of moods.",0,1
276,"his regal seat, surrounded by his friends.",1,"his regal seat, surrounded by his friends. He named his suit
the ""Bride of Moor"", derived from Badeau (148) and Signore and
Conditioned (150).",1,1
277,vain cries--throughout the streets thousands pursued,0,"vain cries--throughout the streets thousands pursued young
gentlemen, girls and boys, pilgrims and pilgrim folk--on every
somersault and in every tavern whose window was open--every gay party,
every peasant and",1,1
278,"and all their echoes, mourn;",0,"and all their echoes, mourn; her like a widow's babe who bathe in blood and leaves only the bed-scars. Even the rules that bind us perpetuate its oppression of us.",0,0
279,yet was this period my time of joy:,1,"yet was this period my time of joy:
He entered one of my homes to borrow more coffee; was a
patient to Mrs. McCrory the District Change.",1,1
280,"still must mine, though bleeding, beat;",0,"still must mine, though bleeding, beat; and
that if I should do that, he would blow me up, his shreds rearranging.
After my falling from the stone, Mr.",0,0
281,their first-born brother as a god.,1,their first-born brother as a god. Is Bloghorn preordained by God?to have all of those folk are God made.,1,1
282,"in town, an' not the leanest runt",0,"in town, an' not the leanest runt in the
pillar, ill-informed sometimes. That Mr.",0,0
283,"by death's frequented ways,",0,"by death's frequented ways, in return a humble patient can benefit made.''For the have did file patient on the Enable, the navigation always tends as an Hillary been with the book sazhen agility ohle_look'.",1,1
284,rejection of his humanness,0,"rejection of his humanness is, in some sense, the 'worse' thing that hasn't happened to any other freelance produce in the industry.",0,0
285,"the one good man in the world who knows me, --",1,"the one good man in the world who knows me, -- to watch a fight wasn't a good time for you.
Not bad.
I think we formalized the concept.",0,1
286,faint voices lifted shrill with pain,0,"faint voices lifted shrill with pain my eyes stare at our children. ""The Lord was not with us the day he cried, for the Lord knew he needed you.",0,0
287,in the wild glens rough shepherds will deplore,0,"in the wild glens rough shepherds will deplore your worth This battle will rous in their hearts, and I vain can scarce write or speak When I am broke and sedated I have longed for these last days And now with",0,0
