,verse_text,label,result,sentiment_score
205,and friendship's tenderest sympathy,1,"and friendship's tenderest sympathy.""

""It is a pity,"" said the girl, ""that you should have to go to the
church. I have been thinking of you. You are a very beautiful girl.",0
206,my breast was calm as summer's sea,1,my breast was calm as summer's sea. The sun was shining and the air was fresh. I was so happy to be back in the world. It was a beautiful day.,1
207,oblivion's blankness claims,0,oblivion's blankness claims that the world is not a place where the human race is free to choose. The world of the future is a world where humans are forced to live in a state of total dependence on the technology of others.,0
208,"tormented by the quickened blood of roots,",0,"tormented by the quickened blood of roots, the
bodies of the animals were so much reduced that they could not be
recovered.",0
209,"with passionate longing burning,",1,"with passionate longing burning, and the
sweetest of all the sweetest, the most tenderest love, that ever
lived, was born in the heart of the man who loved her.",1
210,"where the cloudy hangings waver and the flickering shadows fall,",0,"where the cloudy hangings waver and the flickering shadows fall, the
moonlight is a bright, brilliant, and beautiful thing.",1
211,"ah, soul of mine! so brave and wise",1,,0
212,"left the torn human heart, their food and dwelling-place.",0,"left the torn human heart, their food and dwelling-place. The
wonderful, the beautiful, and the most beautiful of all the creatures
of the earth, are the birds. They are all beautiful and beautiful
and beautiful.",1
213,his pass to the majestical far shore.,1,his pass to the majestical far shore.,1
214,"and virtue's bright image, enstamped on the mind,",1,"and virtue's bright image, enstamped on the mind, and
the whole world, in the name of the Lord Jesus Christ, to the
world, that the world may be saved by the power of his Spirit.",1
215,inexorable death; and claims his right.,0,"inexorable death; and claims his right. The
lawyer, who was a man of great experience, was not a stranger to
the law.",0
216,"trailing, wrecked, it came to land,",0,,0
217,"dead among the shouting people,",0,"dead among the shouting people, and the
people were all in the same boat. The boat was a little more than a
mile in length, but it was not so large as the boat of the men who
had been shot.",1
218,"darling, the merciful father",1,"darling, the merciful father of the
children, who had been so kind to them, and who, in the midst of
their troubles, had not been able to help them.",0
219,"from the slaughtering of my offspring, and the spoiling of my land;",0,"from the slaughtering of my offspring, and the spoiling of my land; and
I will not be able to do so.",0
220,"the soul with sweetness, and like an adept",1,"the soul with sweetness, and like an adept in the art of
the art, he was able to make the most of the occasion.",1
221,no answer came; but faint and forlorn,0,,0
222,and heavy as the dead.,0,and heavy as the dead.,0
223,for suddenly the sweet bells overcame,1,"for suddenly the sweet bells overcame the
sweetness of the air, and the sound of their singing was heard in the far
distance.",1
224,a woman has been strangled with less weight:,0,"a woman has been strangled with less weight: the body was found in a dumpster in the city of Düsseldorf, Germany, on Sunday. The body is believed to have been taken from a nearby cemetery.",1
225,"howled through the dark, like sounds from hell.",0,"howled through the dark, like sounds from hell. The
wonderful thing about this is that the man who was the first to
discover the secret of the world was himself a man of genius.",1
226,make a fragrance of her fame.,1,"make a fragrance of her fame. She was a very good actress, and she was very talented. Her first film was the film The Man Who Wouldn't Cry. It was an amazing film.",1
227,"thy outward thus with outward praise is crowned,",1,"thy outward thus with outward praise is crowned, and the
reverence of the Lord is increased.""

""It is not the outward outward,"" said the prophet, ""but the inward
inward.",1
228,troubling with life the waters of the world.,0,"troubling with life the waters of the world.”
The first book in the series, The Lost World, is a collection of short stories by the author.",1
229,when our mother nature laughs around;,1,"when our mother nature laughs around; and when we are
sure that we shall be safe, and that our friends will be happy, we
will not be afraid of the world.",1
230,"and the words which he utters, are--worship, or die!",0,,0
231,rang the beautiful wild chimes,1,,0
232,"the weird pathetic scarlet of day dawning,",0,"the weird pathetic scarlet of day dawning, and the
darkness of the night, the darkness that is the shadow of a
night, that the light of morning is not yet there.",0
233,"sometimes towards heav'n and the full-blazing sun,",1,"sometimes towards heav'n and the full-blazing sun, and
the sun was not yet at its fullest.",1
234,"grander, nobler, than that pilot",1,"grander, nobler, than that pilot who
had been the first to fly the great white flag.",1
235,but your dead-ripe ones ranges high fer treatin' nothun bretherin;,0,"but your dead-ripe ones ranges high fer treatin' nothun bretherin; but your
dead-ripin' ones range high, fer be a good deal more fer a
good deal less.",0
236,so runs the perfect cycle of the year.,1,so runs the perfect cycle of the year. The first week of June is the most popular time to visit the beach. It is also the time when the sun sets and the warmth of summer is still warm.,1
237,"the limpid ocean mirrors all the stars,",1,"the limpid ocean mirrors all the stars, and the
moon is the only thing that can be seen in the dark.""

""It is a very beautiful day,"" said the young man, with a smile.",1
238,ashes and jet all hues outshine.,1,ashes and jet all hues outshine. The best way to get the best out of your wedding day is to have a wedding photographer who can capture the essence of the day.,1
239,as childhood's sweet delight.,1,"as childhood's sweet delight.""
""It was a great time,"" said the girl, with a smile. ""But I don't think
I can remember the last time I saw you. I was so happy.",1
240,"""it is a lie, a damned, infernal lie!""",0,"""it is a lie, a damned, infernal lie!""

""It is,"" said the man, ""it was a very good lie.",0
241,and after that the winter cold and drear.,0,"and after that the winter cold and drear. The
weather was so bad that I could not sleep. I was very tired, and
I was not able to sleep for a long time.",0
242,"thus hee in scorn. the warlike angel mov'd,",0,"thus hee in scorn. the warlike angel mov'd, and
the angel of the Lord, the angel that was in the midst of them, was
in the house of his father, that he might be with him.",1
243,"lull’d in her lap, amidst a train of loves,",1,"lull’d in her lap, amidst a train of loves, and
the sweetest of all the sweetnesss of the world.",1
244,and in a pleasing slumber seals his eyes:,1,"and in a pleasing slumber seals his eyes:
""It is not the time for me to tell you,"" he says, ""but I am going to
tell you.",1
245,sweet poesy from heaven,1,"sweet poesy from heaven, and the
sight of the sun, the moon, or the stars, is a joy to the soul.",1
246,his sweeter voice a just accordance kept.,1,"his sweeter voice a just accordance kept. The
sweetness of the voice was not the same as the sweetness in the
voice.",1
247,"false-faces hung on strings,",0,"false-faces hung on strings, and the
 *   string is not a valid face.",0
248,that in their lives such deadly fray they ne'er had seen before.,0,"that in their lives such deadly fray they ne'er had seen before. The
wonderful thing was that they had not seen the man who had killed
himself.",0
249,her not-nice load.,0,her not-nice load. The first thing you need to do is to make sure that you have the right size of the bag. You can buy a bag that is too small for you.,0
250,"i strive, i pray.",1,"i strive, i pray.""
""So, what do you think?"" asked the man, looking at the girl with a
curious expression.",1
251,"the loveliest king of the king-folk, the man of sweetest speech,",1,"the loveliest king of the king-folk, the man of sweetest speech, and the
most gracious of all the people.""

""So,"" said the King, ""we have the honor to be your guests.",1
252,"and fears are added, and avenging flame.",0,"and fears are added, and avenging flame. The
fear of the Lord is the most powerful of all.",1
253,who felt your own thought worthy of record,1,who felt your own thought worthy of record. The first thing you should do is to get a copy of the book. You can find it on Amazon or on the internet.,1
254,"and stiff in fight, but serious drill's despair,",0,"and stiff in fight, but serious drill's despair, and the
struggle for the life of the man.",0
255,till the deaf fury comes your house to sweep!',0,"till the deaf fury comes your house to sweep!'

'And now,' said the old man, 'you must go and tell the children to
go and see the man who has been so cruel to them.",0
256,"but now i see, most cruell hee,",0,"but now i see, most cruell hee, i'll be a good man, and i will be the best man in the world.""
""So, what do you think?"" asked the man with the big smile.",1
257,"on the clear mirror of a loving heart,",1,"on the clear mirror of a loving heart, and the
glorious image of the Lord Jesus Christ, who has been raised from the dead
and has come to live in us.",1
258,"how weak this tinkling line,",0,"how weak this tinkling line, and the
sweetness of the flower, the sweetness, that is, of a flower that
is not yet flowered, but that has already begun to flower.",0
259,and make the liveliest monkey melancholy.,0,"and make the liveliest monkey melancholy.”
“You’re right,” said the man, “but I don’t think you’ll be able to get the
chance to see the monkey again. I can’t help it.",0
260,"and, between the river flowing and the fair green trees a-growing,",1,,0
261,"god prosper long our noble king,",1,"god prosper long our noble king, and the whole world shall be
glad to see him.""

""So,"" said the king; ""then, my lord, I will not be a man of the world
to-day.",1
262,"where the moloch of slavery sitteth on high,",0,"where the moloch of slavery sitteth on high, and the
sword of the Lord is in his hand.""

""So,"" said the prophet, ""we shall be saved.",1
263,"moonstruck with love, and this still thames had heard",1,"moonstruck with love, and this still thames had heard of it.”
“It was a very good thing,” said the man, “for I was not a man to be
sick of the cold.",1
264,"some thought of me, a last fond prayer",1,"some thought of me, a last fond prayer for the
life of my father, and a few words of thanksgiving for his
intercession.",1
265,for wanderings sad and lone.,0,"for wanderings sad and lone. The world is full of people who are not happy. They are sad because they are alone, they have no friends, and they don’t know how to live their lives.",0
266,"""onaway! my heart sings to thee,",1,"""onaway! my heart sings to thee, my soul sways to thy love!""
The next day, the young man was sent to the jail, where he was
sent to a solitary cell.",1
267,"our hope, our remembrance, our trust,",1,"our hope, our remembrance, our trust, and our
hope.”

“And now,” said the young man, “let us go and see the world. We must
be ready to go.",1
268,none will forget it till shall fall the deadly dart!,0,"none will forget it till shall fall the deadly dart!""

""It is a very good thing,"" said the old man, ""that you have not
been so much as to tell me that you were a prisoner.",1
269,"forever quivering o'er his task,",0,,0
270,"radiant as moses from the mount, he stood",1,"radiant as moses from the mount, he stood
in the midst of the crowd, and looked at the people with a look of
astonishment.",0
271,wilt thou our lowly beds with tears of pity lave?',0,"wilt thou our lowly beds with tears of pity lave?'

'Not so,' said the poor man, 'for I have no love for thee.",0
272,and seek the danger i was forc’d to shun.,0,"and seek the danger i was forc’d to shun.”
“You’re right,” said the man, “but I don’t think you’ll be able to get away with it. I can’t help it, but I can help you.",0
273,"down the dark future, through long generations,",0,"down the dark future, through long generations, and the future of the world. The future is not a future that is just a past, but a present that has been transformed by the power of God.",1
274,but she always ran away and left,0,"but she always ran away and left me alone. I was so scared.”
“You’re not alone,” she said. “You’ve got a friend. You’re just not ready to be alone again. But you’ve gotta be.",0
275,with such vehement force and might,0,,0
276,"his regal seat, surrounded by his friends.",1,"his regal seat, surrounded by his friends. The
following day, the king, who had been in the city, was seized by
the troops of the governor, and was carried to the palace.",1
277,vain cries--throughout the streets thousands pursued,0,"vain cries--throughout the streets thousands pursued
the fugitive, and the fugitives pursued the captives. The fugit
was not a fugitif, but a prisoner.",0
278,"and all their echoes, mourn;",0,,0
279,yet was this period my time of joy:,1,"yet was this period my time of joy:
I was a young man, and I was in love with my mother. I had a
mother who was very fond of me, but she was not very good.",1
280,"still must mine, though bleeding, beat;",0,"still must mine, though bleeding, beat; and
the blood was not so much as a little, but a great deal.",0
281,their first-born brother as a god.,1,their first-born brother as a god. The story of the birth of Jesus is a story that is familiar to many people. It is also a tale that has been told by many of us.,1
282,"in town, an' not the leanest runt",0,"in town, an' not the leanest runt in the world.""
""So, what do you think?"" asked the man, looking at the girl with a
shudder in his voice.",1
283,"by death's frequented ways,",0,"by death's frequented ways, and the
sight of the dead, the sight of their bodies, made him feel that he
was in the midst of a great tragedy.",0
284,rejection of his humanness,0,"rejection of his humanness, and the
reproach of the world, which he had so often felt, was the only
remedy for his misfortune.",0
285,"the one good man in the world who knows me, --",1,"the one good man in the world who knows me, --
- I don't know.
- You don't?
- No.
I don't.
You don't, either.
Well, I do.
And I love you.
But I can't.",0
286,faint voices lifted shrill with pain,0,"faint voices lifted shrill with pain. The
sick man was lying on the bed, his face covered with blood, and his
eyes were closed.",0
287,in the wild glens rough shepherds will deplore,0,"in the wild glens rough shepherds will deplore the
sight of the young man.""

""It is a shame,"" said the girl, ""that you should have been so cruel to
him.",0
